sort,UniqueID,SurveyDate,Time,Visit,Observer,SurveyType,NoiseLevel,SPECIES,Count,TimeInterval,DISTANCE,FID,Strata,Plot,Station,Latitude,Longitude,Join_Count,YearLoss,Class_Name,ModisLCC,FIRENAME,YEAR,Disturbance,PKEY,PKEYm,Noise,JULIAN,JDAY,srise,start_time,TSSR,Interval,SS,RandomSel
39,05-041-02,22-Jun-15,8:40:00 AM,1,CMC,ARU,Light,HETH,1,7-8 min,ARU,45,5,41,2,58.13458528,-109.420865,1,0,Sparse Coniferous,8,ALTA,1980,Fire,05-041-02_1,05-041-02_1_A,1,172,0.471232877,4.216300914,8.666666667,0.185431906,5-10 min,5.041,1
40,05-041-02,22-Jun-15,8:40:00 AM,1,CMC,ARU,Light,PAWA,1,1-2 min,ARU,45,5,41,2,58.13458528,-109.420865,1,0,Sparse Coniferous,8,ALTA,1980,Fire,05-041-02_1,05-041-02_1_A,1,172,0.471232877,4.216300914,8.666666667,0.185431906,0-3 min,5.041,1
41,05-041-02,22-Jun-15,8:40:00 AM,1,CMC,ARU,Light,PISI,2,5-6 min,ARU,45,5,41,2,58.13458528,-109.420865,1,0,Sparse Coniferous,8,ALTA,1980,Fire,05-041-02_1,05-041-02_1_A,1,172,0.471232877,4.216300914,8.666666667,0.185431906,5-10 min,5.041,1
42,05-041-02,22-Jun-15,8:40:00 AM,1,CMC,ARU,Light,CHSP,1,8-9 min,ARU,45,5,41,2,58.13458528,-109.420865,1,0,Sparse Coniferous,8,ALTA,1980,Fire,05-041-02_1,05-041-02_1_A,1,172,0.471232877,4.216300914,8.666666667,0.185431906,5-10 min,5.041,1
43,05-041-02,22-Jun-15,8:40:00 AM,1,CMC,ARU,Light,PISI,3,8-9 min,ARU,45,5,41,2,58.13458528,-109.420865,1,0,Sparse Coniferous,8,ALTA,1980,Fire,05-041-02_1,05-041-02_1_A,1,172,0.471232877,4.216300914,8.666666667,0.185431906,5-10 min,5.041,1
44,05-041-02,22-Jun-15,8:40:00 AM,1,CMC,ARU,Light,HETH,1,7-8 min,ARU,45,5,41,2,58.13458528,-109.420865,1,0,Sparse Coniferous,8,ALTA,1980,Fire,05-041-02_1,05-041-02_1_A,1,172,0.471232877,4.216300914,8.666666667,0.185431906,5-10 min,5.041,1
45,05-041-02,22-Jun-15,8:40:00 AM,1,CMC,HUM,Light,COLO,1,4-5 min,>100 m,45,5,41,2,58.13458528,-109.420865,1,0,Sparse Coniferous,8,ALTA,1980,Fire,05-041-02_1,05-041-02_1_H,1,172,0.471232877,4.216300914,8.666666667,0.185431906,3-5 min,5.041,1
46,05-041-02,22-Jun-15,8:40:00 AM,1,CMC,HUM,Light,FOSP,1,0-1 min,>100 m,45,5,41,2,58.13458528,-109.420865,1,0,Sparse Coniferous,8,ALTA,1980,Fire,05-041-02_1,05-041-02_1_H,1,172,0.471232877,4.216300914,8.666666667,0.185431906,0-3 min,5.041,1
47,05-041-02,22-Jun-15,8:40:00 AM,1,CMC,HUM,Light,DEJU,1,2-3 min,50-100 m,45,5,41,2,58.13458528,-109.420865,1,0,Sparse Coniferous,8,ALTA,1980,Fire,05-041-02_1,05-041-02_1_H,1,172,0.471232877,4.216300914,8.666666667,0.185431906,0-3 min,5.041,1
48,05-041-02,22-Jun-15,8:40:00 AM,1,CMC,HUM,Light,RESQ,1,0-1 min,50-100 m,45,5,41,2,58.13458528,-109.420865,1,0,Sparse Coniferous,8,ALTA,1980,Fire,05-041-02_1,05-041-02_1_H,1,172,0.471232877,4.216300914,8.666666667,0.185431906,0-3 min,5.041,1
49,05-041-02,22-Jun-15,8:40:00 AM,1,CMC,HUM,Light,CHSP,1,4-5 min,50-100 m,45,5,41,2,58.13458528,-109.420865,1,0,Sparse Coniferous,8,ALTA,1980,Fire,05-041-02_1,05-041-02_1_H,1,172,0.471232877,4.216300914,8.666666667,0.185431906,3-5 min,5.041,1
50,05-041-02,22-Jun-15,8:40:00 AM,1,CMC,HUM,Light,HETH,1,7-8 min,50-100 m,45,5,41,2,58.13458528,-109.420865,1,0,Sparse Coniferous,8,ALTA,1980,Fire,05-041-02_1,05-041-02_1_H,1,172,0.471232877,4.216300914,8.666666667,0.185431906,5-10 min,5.041,1
51,05-041-02,22-Jun-15,8:40:00 AM,1,CMC,HUM,Light,MYWA,1,2-3 min,0-49 m,45,5,41,2,58.13458528,-109.420865,1,0,Sparse Coniferous,8,ALTA,1980,Fire,05-041-02_1,05-041-02_1_H,1,172,0.471232877,4.216300914,8.666666667,0.185431906,0-3 min,5.041,1
52,05-041-02,22-Jun-15,8:40:00 AM,1,CMC,HUM,Light,HETH,1,8-9 min,0-49 m,45,5,41,2,58.13458528,-109.420865,1,0,Sparse Coniferous,8,ALTA,1980,Fire,05-041-02_1,05-041-02_1_H,1,172,0.471232877,4.216300914,8.666666667,0.185431906,5-10 min,5.041,1
53,05-041-02,22-Jun-15,8:40:00 AM,1,CMC,HUM,Light,PAWA,1,2-3 min,0-49 m,45,5,41,2,58.13458528,-109.420865,1,0,Sparse Coniferous,8,ALTA,1980,Fire,05-041-02_1,05-041-02_1_H,1,172,0.471232877,4.216300914,8.666666667,0.185431906,0-3 min,5.041,1
54,05-041-02,22-Jun-15,8:40:00 AM,1,CMC,HUM,Light,PISI,2,6-7 min,0-49 m,45,5,41,2,58.13458528,-109.420865,1,0,Sparse Coniferous,8,ALTA,1980,Fire,05-041-02_1,05-041-02_1_H,1,172,0.471232877,4.216300914,8.666666667,0.185431906,5-10 min,5.041,1
55,05-041-05,22-Jun-15,7:34:00 AM,1,BFDO,ARU,Unusable,MYWA,1,0-1 min,ARU,48,5,41,5,58.13198119,-109.4198405,1,0,Sparse Coniferous,8,ALTA,1980,Fire,05-041-05_1,05-041-05_1_A,4,172,0.471232877,4.21663819,7.566666667,0.13958452,0-3 min,5.041,1
56,05-041-05,22-Jun-15,7:34:00 AM,1,BFDO,ARU,Unusable,RESQ,1,3-4 min,ARU,48,5,41,5,58.13198119,-109.4198405,1,0,Sparse Coniferous,8,ALTA,1980,Fire,05-041-05_1,05-041-05_1_A,4,172,0.471232877,4.21663819,7.566666667,0.13958452,3-5 min,5.041,1
57,05-041-05,22-Jun-15,7:34:00 AM,1,BFDO,ARU,Unusable,FOSP,2,0-1 min,ARU,48,5,41,5,58.13198119,-109.4198405,1,0,Sparse Coniferous,8,ALTA,1980,Fire,05-041-05_1,05-041-05_1_A,4,172,0.471232877,4.21663819,7.566666667,0.13958452,0-3 min,5.041,1
58,05-041-05,22-Jun-15,7:34:00 AM,1,BFDO,ARU,Unusable,HETH,1,0-1 min,ARU,48,5,41,5,58.13198119,-109.4198405,1,0,Sparse Coniferous,8,ALTA,1980,Fire,05-041-05_1,05-041-05_1_A,4,172,0.471232877,4.21663819,7.566666667,0.13958452,0-3 min,5.041,1
59,05-041-05,22-Jun-15,7:34:00 AM,1,BFDO,ARU,Unusable,HETH,1,0-1 min,ARU,48,5,41,5,58.13198119,-109.4198405,1,0,Sparse Coniferous,8,ALTA,1980,Fire,05-041-05_1,05-041-05_1_A,4,172,0.471232877,4.21663819,7.566666667,0.13958452,0-3 min,5.041,1
60,05-041-05,22-Jun-15,7:34:00 AM,1,BFDO,ARU,Unusable,SWTH,1,0-1 min,ARU,48,5,41,5,58.13198119,-109.4198405,1,0,Sparse Coniferous,8,ALTA,1980,Fire,05-041-05_1,05-041-05_1_A,4,172,0.471232877,4.21663819,7.566666667,0.13958452,0-3 min,5.041,1
61,05-041-05,22-Jun-15,7:34:00 AM,1,BFDO,HUM,Unusable,MYWA,1,0-1 min,>100 m,48,5,41,5,58.13198119,-109.4198405,1,0,Sparse Coniferous,8,ALTA,1980,Fire,05-041-05_1,05-041-05_1_H,4,172,0.471232877,4.21663819,7.566666667,0.13958452,0-3 min,5.041,1
62,05-041-05,22-Jun-15,7:34:00 AM,1,BFDO,HUM,Unusable,HETH,1,3-4 min,>100 m,48,5,41,5,58.13198119,-109.4198405,1,0,Sparse Coniferous,8,ALTA,1980,Fire,05-041-05_1,05-041-05_1_H,4,172,0.471232877,4.21663819,7.566666667,0.13958452,3-5 min,5.041,1
63,05-041-05,22-Jun-15,7:34:00 AM,1,BFDO,HUM,Unusable,HETH,1,0-1 min,50-100 m,48,5,41,5,58.13198119,-109.4198405,1,0,Sparse Coniferous,8,ALTA,1980,Fire,05-041-05_1,05-041-05_1_H,4,172,0.471232877,4.21663819,7.566666667,0.13958452,0-3 min,5.041,1
64,05-041-05,22-Jun-15,7:34:00 AM,1,BFDO,HUM,Unusable,FOSP,1,0-1 min,50-100 m,48,5,41,5,58.13198119,-109.4198405,1,0,Sparse Coniferous,8,ALTA,1980,Fire,05-041-05_1,05-041-05_1_H,4,172,0.471232877,4.21663819,7.566666667,0.13958452,0-3 min,5.041,1
65,05-041-05,22-Jun-15,7:34:00 AM,1,BFDO,HUM,Unusable,MYWA,1,0-1 min,0-49 m,48,5,41,5,58.13198119,-109.4198405,1,0,Sparse Coniferous,8,ALTA,1980,Fire,05-041-05_1,05-041-05_1_H,4,172,0.471232877,4.21663819,7.566666667,0.13958452,0-3 min,5.041,1
66,05-041-05,22-Jun-15,7:34:00 AM,1,BFDO,HUM,Unusable,HETH,1,1-2 min,0-49 m,48,5,41,5,58.13198119,-109.4198405,1,0,Sparse Coniferous,8,ALTA,1980,Fire,05-041-05_1,05-041-05_1_H,4,172,0.471232877,4.21663819,7.566666667,0.13958452,0-3 min,5.041,1
67,05-041-05,22-Jun-15,7:34:00 AM,1,BFDO,HUM,Unusable,MYWA,1,1-2 min,0-49 m,48,5,41,5,58.13198119,-109.4198405,1,0,Sparse Coniferous,8,ALTA,1980,Fire,05-041-05_1,05-041-05_1_H,4,172,0.471232877,4.21663819,7.566666667,0.13958452,0-3 min,5.041,1
68,05-041-05,22-Jun-15,7:34:00 AM,1,BFDO,HUM,Unusable,RESQ,1,2-3 min,0-49 m,48,5,41,5,58.13198119,-109.4198405,1,0,Sparse Coniferous,8,ALTA,1980,Fire,05-041-05_1,05-041-05_1_H,4,172,0.471232877,4.21663819,7.566666667,0.13958452,0-3 min,5.041,1
